"市町村名","個人_事業所数","個人_年間商品販売額　（万円）","個人_その他の収入額（万円）","個人_個人事業主数(人)","個人_無給家族従業者数（人）","個人_正社員・正職員数（人）","個人_パート・アルバイト等の数（人）","個人_臨時雇用者数（人）","個人_従業者・臨時雇用者のうち他への出向・派遣従業者数（人）","個人_他からの出向・派遣従業者数（人）","法人_事業所数","法人_年間商品販売額　　　（万円）","法人_その他の収入額（万円）","法人_有給役員数（人）","法人_正社員・正職員数（人）","法人_パート・アルバイト等の数（人）","法人_臨時雇用者数（人）","法人_従業者・臨時雇用者のうち他への出向・派遣従業者数（人）","法人_他からの出向・派遣従業者数（人）","卸売業_個人_事業所数","卸売業_個人_年間商品販売額　（万円）","卸売業_個人_その他の収入額（万円）","卸売業_個人_個人事業主数(人)","卸売業_個人_無給家族従業者数（人）","卸売業_個人_正社員・正職員数（人）","卸売業_個人_パート・アルバイト等の数（人）","卸売業_個人_臨時雇用者数（人）","卸売業_個人_従業者・臨時雇用者のうち他への出向・派遣従業者数（人）","卸売業_個人_他からの出向・派遣従業者数（人）","卸売業_法人_事業所数","卸売業_法人_年間商品販売額　　　（万円）","卸売業_法人_その他の収入額（万円）","卸売業_法人_有給役員数（人）","卸売業_法人_正社員・正職員数（人）","卸売業_法人_パート・アルバイト等の数（人）","卸売業_法人_臨時雇用者数（人）","卸売業_法人_従業者・臨時雇用者のうち他への出向・派遣従業者数（人）","卸売業_法人_他からの出向・派遣従業者数（人）","小売業_個人_事業所数","小売業_個人_年間商品販売額　（万円）","小売業_個人_その他の収入額（万円）","小売業_個人_売場面積（㎡）","小売業_個人_個人事業主数(人)","小売業_個人_無給家族従業者数（人）","小売業_個人_正社員・正職員数（人）","小売業_個人_パート・アルバイト等の数（人）","小売業_個人_臨時雇用者数（人）","小売業_個人_従業者・臨時雇用者のうち他への出向・派遣従業者数（人）","小売業_個人_他からの出向・派遣従業者数（人）","小売業_法人_事業所数","小売業_法人_年間商品販売額　　　（万円）","小売業_法人_その他の収入額（万円）","小売業_法人_売場面積（㎡）","小売業_法人_有給役員数（人）","小売業_法人_正社員・正職員数（人）","小売業_法人_パート・アルバイト等の数（人）","小売業_法人_臨時雇用者数（人）","小売業_法人_従業者・臨時雇用者のうち他への出向・派遣従業者数（人）","小売業_法人_他からの出向・派遣従業者数（人）"
"県計","6219.0","1.4900602E7","437483.0","6077.0","2709.0","3723.0","5006.0","764.0","31.0","19.0","4349.0","1.67522396E8","4489145.0","4229.0","18653.0","21480.0","1924.0","55.0","858.0","712.0","2909993.0","39425.0","698.0","291.0","711.0","472.0","120.0","6.0","3.0","1399.0","9.3023003E7","1502954.0","1837.0","7708.0","2970.0","265.0","35.0","680.0","5507.0","1.1990609E7","398058.0","253325.0","5379.0","2418.0","3012.0","4534.0","644.0","25.0","16.0","2950.0","7.4499393E7","2986191.0","892791.0","2392.0","10945.0","18510.0","1659.0","20.0","178.0"
"和歌山市","1400.0","3687085.0","105303.0","1365.0","650.0","812.0","1314.0","128.0","14.0","1.0","1811.0","8.7531468E7","2211477.0","1704.0","8692.0","9040.0","784.0","22.0","667.0","163.0","613792.0","6139.0","161.0","76.0","137.0","114.0","12.0","3.0","0.0","657.0","5.4557461E7","799460.0","887.0","3942.0","1572.0","112.0","13.0","556.0","1237.0","3073293.0","99164.0","55362.0","1204.0","574.0","675.0","1200.0","116.0","11.0","1.0","1154.0","3.2974007E7","1412017.0","353824.0","817.0","4750.0","7468.0","672.0","9.0","111.0"
"海南市","411.0","1010904.0","25984.0","410.0","206.0","254.0","364.0","46.0","2.0","2.0","252.0","9547155.0","128558.0","293.0","1189.0","1258.0","57.0","11.0","79.0","54.0","220856.0","156.0","54.0","33.0","35.0","21.0","2.0","0.0","0.0","109.0","6258098.0","22016.0","176.0","698.0","358.0","18.0","10.0","75.0","357.0","790048.0","25828.0","15308.0","356.0","173.0","219.0","343.0","44.0","2.0","2.0","143.0","3289057.0","106542.0","37506.0","117.0","491.0","900.0","39.0","1.0","4.0"
"橋本市","340.0","846156.0","25834.0","330.0","157.0","174.0","361.0","29.0","0.0","1.0","201.0","6875039.0","221250.0","176.0","719.0","1610.0","71.0","3.0","7.0","38.0","151079.0","7810.0","36.0","12.0","51.0","19.0","6.0","0.0","0.0","44.0","2169771.0","23188.0","59.0","172.0","75.0","0.0","3.0","0.0","302.0","695077.0","18024.0","15283.0","294.0","145.0","123.0","342.0","23.0","0.0","1.0","157.0","4705268.0","198062.0","69749.0","117.0","547.0","1535.0","71.0","0.0","7.0"
"有田市","306.0","587113.0","10789.0","296.0","149.0","161.0","192.0","53.0","3.0","1.0","95.0","2383060.0","55286.0","85.0","336.0","493.0","38.0","1.0","5.0","38.0","138709.0","647.0","36.0","22.0","28.0","53.0","10.0","0.0","0.0","24.0","1129043.0","5090.0","26.0","137.0","24.0","25.0","0.0","0.0","268.0","448404.0","10142.0","12823.0","260.0","127.0","133.0","139.0","43.0","3.0","1.0","71.0","1254017.0","50196.0","23239.0","59.0","199.0","469.0","13.0","1.0","5.0"
"御坊市","286.0","647559.0","31353.0","282.0","120.0","195.0","234.0","42.0","2.0","0.0","158.0","4939789.0","171806.0","172.0","593.0","823.0","69.0","4.0","12.0","32.0","71380.0","756.0","32.0","12.0","23.0","14.0","2.0","0.0","0.0","40.0","2382183.0","79301.0","42.0","246.0","100.0","1.0","1.0","8.0","254.0","576179.0","30597.0","13904.0","250.0","108.0","172.0","220.0","40.0","2.0","0.0","118.0","2557606.0","92505.0","39804.0","130.0","347.0","723.0","68.0","3.0","4.0"
"田辺市","660.0","1686162.0","53957.0","649.0","266.0","430.0","412.0","104.0","2.0","1.0","477.0","1.6272293E7","398389.0","403.0","2120.0","1622.0","174.0","0.0","21.0","96.0","377317.0","6262.0","96.0","31.0","126.0","43.0","19.0","0.0","0.0","155.0","9241994.0","103191.0","156.0","898.0","234.0","13.0","0.0","6.0","564.0","1308845.0","47695.0","24549.0","553.0","235.0","304.0","369.0","85.0","2.0","1.0","322.0","7030299.0","295198.0","69905.0","247.0","1222.0","1388.0","161.0","0.0","15.0"
"新宮市","367.0","862943.0","12280.0","347.0","109.0","264.0","278.0","18.0","1.0","3.0","249.0","8369857.0","205560.0","230.0","919.0","1114.0","31.0","2.0","10.0","45.0","108690.0","2611.0","41.0","13.0","48.0","20.0","0.0","1.0","0.0","84.0","4473498.0","51458.0","94.0","407.0","124.0","6.0","1.0","5.0","322.0","754253.0","9669.0","16008.0","306.0","96.0","216.0","258.0","18.0","0.0","3.0","165.0","3896359.0","154102.0","61301.0","136.0","512.0","990.0","25.0","1.0","5.0"
"紀の川市","329.0","856933.0","22933.0","325.0","133.0","170.0","353.0","72.0","0.0","0.0","192.0","6242848.0","134133.0","168.0","707.0","1165.0","170.0","0.0","7.0","37.0","143411.0","193.0","37.0","17.0","23.0","42.0","8.0","0.0","0.0","53.0","2927329.0","20886.0","73.0","224.0","95.0","33.0","0.0","2.0","292.0","713522.0","22740.0","14331.0","288.0","116.0","147.0","311.0","64.0","0.0","0.0","139.0","3315519.0","113247.0","46094.0","95.0","483.0","1070.0","137.0","0.0","5.0"
"岩出市 ","160.0","554893.0","13725.0","156.0","58.0","116.0","278.0","12.0","0.0","1.0","173.0","5392476.0","258703.0","117.0","773.0","1292.0","71.0","0.0","10.0","15.0","81874.0","911.0","15.0","4.0","13.0","5.0","3.0","0.0","0.0","23.0","883895.0","90730.0","28.0","91.0","49.0","1.0","0.0","4.0","145.0","473019.0","12814.0","9705.0","141.0","54.0","103.0","273.0","9.0","0.0","1.0","150.0","4508581.0","167973.0","62668.0","89.0","682.0","1243.0","70.0","0.0","6.0"
